text,label
"Main road near ward office has become patchwork of patches, every 20 feet there’s a dip. Bike skids in rain, nobody fixed it properly.","Roads, Potholes & Infrastructure"
"Why is the divider on Ring Road broken since January? At night vehicles cut across and it’s super risky.","Roads, Potholes & Infrastructure"
"The newly dug stretch for cable work in Sector 11 was never leveled back. My car bottom hit twice this week.","Roads, Potholes & Infrastructure"
"Pothole right in front of Sunrise School gate, children are getting splashed by muddy water every morning.","Roads, Potholes & Infrastructure"
"Footpath tiles on MG Lane are loose and wobbling; my mother almost tripped. Please repair, not just barricade.","Roads, Potholes & Infrastructure"
"Concrete road at Patel Chowk has sunk on one side, looks like drainage below collapsed.","Roads, Potholes & Infrastructure"
"Street near plot 42 has no proper shoulder, after rain it turns into slush and buses get stuck.","Roads, Potholes & Infrastructure"
"Construction debris left after road cutting in Green Park Ext. Not drivable for two-wheelers now.","Roads, Potholes & Infrastructure"
"There are three deep craters, not potholes, on the flyover approach road. Accident waiting to happen.","Roads, Potholes & Infrastructure"
"Speed breaker outside City Hospital is unpainted and too steep, ambulances and patients are getting jolts.","Roads, Potholes & Infrastructure"
"Lane behind Krishna Temple still has open manhole after resurfacing work. Extremely dangerous at night.","Roads, Potholes & Infrastructure"
"Road edge near bus depot keeps breaking; trucks have carved trenches and waterlogging starts instantly.","Roads, Potholes & Infrastructure"
"Please check Central Avenue pavement quality. It cracked within 2 months of relaying, looks substandard.","Roads, Potholes & Infrastructure"
"From market signal till old bridge, road markings are completely gone, lanes merge randomly.","Roads, Potholes & Infrastructure"
"Underpass service road has uneven joints, every passing truck makes the whole house shake.","Roads, Potholes & Infrastructure"
"Garbage pile at Lane 5 corner hasn’t been lifted for 4 days, dogs are tearing bags and spreading waste.","Sanitation, Garbage & Waste Management"
"Community bin near Hanuman Chowk is overflowing again, rotten smell enters our flats by evening.","Sanitation, Garbage & Waste Management"
"Wet waste vehicle skips our street every alternate day. We are paying user charges for what exactly?","Sanitation, Garbage & Waste Management"
"Sewage mixed sludge dumped near park wall after drain cleaning, still lying there in open.","Sanitation, Garbage & Waste Management"
"Public dustbin outside metro gate is broken; people throw trash around and flies are everywhere.","Sanitation, Garbage & Waste Management"
"Housekeeping workers burn collected leaves and plastic at 6am, smoke is unbearable.","Sanitation, Garbage & Waste Management"
"Drain behind Block C is choked with wrappers and bottles, mosquitoes increased badly.","Sanitation, Garbage & Waste Management"
"Market lane has zero waste segregation, meat waste and vegetables all mixed, stinks all day.","Sanitation, Garbage & Waste Management"
"Stray cattle are eating from uncovered garbage heaps near school road, very unhygienic condition.","Sanitation, Garbage & Waste Management"
"Toilet block at bus stand not cleaned properly, floor always wet and foul odor.","Sanitation, Garbage & Waste Management"
"After festival, heaps of thermocol and flowers still not cleared from lake road.","Sanitation, Garbage & Waste Management"
"Garbage truck comes but workers leave half the spill on road, then crows scatter it.","Sanitation, Garbage & Waste Management"
"Biomedical waste seen in normal municipal bin near clinic lane, this is serious safety issue.","Sanitation, Garbage & Waste Management"
"Street sweeping is only done on main road; inner lanes are ignored for weeks.","Sanitation, Garbage & Waste Management"
"Open dumping happening on vacant plot near Tower 9 every night, please stop this.","Sanitation, Garbage & Waste Management"
"Water supply in our block is coming only 20-25 mins and pressure is so low tank doesn’t fill.","Water Supply, Leakage & Plumbing"
"Pipeline leak near Shanti Nagar gate wasting water continuously since last Sunday, road always wet.","Water Supply, Leakage & Plumbing"
"Brownish water from tap this morning in Flat B-304, maybe mixing with sewage line.","Water Supply, Leakage & Plumbing"
"Main valve chamber outside house 18 is overflowing; plumber said municipal line cracked.","Water Supply, Leakage & Plumbing"
"No water at all on third floor after 7 pm for past 3 days, lower floors get some flow.","Water Supply, Leakage & Plumbing"
"Public standpost near market drips 24x7, huge wastage and slippery pavement.","Water Supply, Leakage & Plumbing"
"Air locking in pipeline causes loud banging and then no flow in kitchen tap.","Water Supply, Leakage & Plumbing"
"Please repair leaking connection near temple lane, already formed pothole and algae.","Water Supply, Leakage & Plumbing"
"Drinking water timing changed without notice; many of us missed filling storage.","Water Supply, Leakage & Plumbing"
"Society booster keeps tripping because incoming municipal pressure fluctuates too much.","Water Supply, Leakage & Plumbing"
"Complaint regarding sewer backflow in bathroom when municipal water starts, plumbing cross issue suspected.","Water Supply, Leakage & Plumbing"
"Rust particles and sand coming in tap water since new line work, unusable for cooking.","Water Supply, Leakage & Plumbing"
"Leak from underground pipe at junction of 3rd Cross and School Street, water running into drain.","Water Supply, Leakage & Plumbing"
"Two municipal taps in community area are broken and cannot be closed.","Water Supply, Leakage & Plumbing"
"Intermittent water cuts every afternoon in Ward 12 without tanker support.","Water Supply, Leakage & Plumbing"
"Streetlight pole opposite House 77 is dead for a week, lane becomes pitch dark after 8pm.","Electricity, Street Lights & Electrical Wiring"
"Sparking from loose wire on electric pole near dairy booth during wind, very dangerous.","Electricity, Street Lights & Electrical Wiring"
"Transformer in our pocket area makes loud humming and power keeps tripping nightly.","Electricity, Street Lights & Electrical Wiring"
"Three lights on service road to station not working; people avoid that stretch now.","Electricity, Street Lights & Electrical Wiring"
"Open junction box near playground, children can touch exposed cables accidentally.","Electricity, Street Lights & Electrical Wiring"
"Frequent voltage drops in Block D, fans stop and fridge restarts repeatedly.","Electricity, Street Lights & Electrical Wiring"
"Street light timer seems wrong: lights switch off at 5:30am still dark, and on too late evening.","Electricity, Street Lights & Electrical Wiring"
"Dangling cable hanging very low over footpath near pharmacy, almost at head level.","Electricity, Street Lights & Electrical Wiring"
"After rain, pole light near bus stop flickers continuously and sometimes throws sparks.","Electricity, Street Lights & Electrical Wiring"
